#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
19.5% 1180000 -76401.75462878411 14460.841932591271 -61940.91269619284 299.6102418686104 780 17:59
19.6% 1185000 -76841.66065268757 14466.168678051206 -62375.49197463636 299.72060525568446 780 17:58
19.7% 1190000 -76679.29175646952 14573.296216912599 -62105.99553955693 301.94015152959213 780 17:57
19.8% 1195000 -76441.12131581559 14144.381305194574 -62296.74001062101 293.053580399092 779 17:56
19.8% 1200000 -75861.18319626481 14470.540836683067 -61390.64235958175 299.8111908184951 779 17:55
19.9% 1205000 -76164.23020369397 14965.96786054256 -61198.26234315141 310.0758082687593 779 17:55
20.0% 1210000 -76327.50922339853 14484.937093260198 -61842.57213013834 300.1094629339904 778 17:54
20.1% 1215000 -76165.60373235385 14481.895542642002 -61683.70818971185 300.0464458758812 778 17:53
20.2% 1220000 -76301.63749951065 14632.80814129404 -61668.82935821661 303.17316286745927 778 17:53
20.2% 1225000 -76292.86068633676 14792.617516723813 -61500.24316961295 306.4842097517679 778 17:52
20.3% 1230000 -76250.79524674176 14349.325735974186 -61901.46951076758 297.29976819104314 777 17:51
20.4% 1235000 -76741.41753578704 14411.635724356753 -62329.781811430286 298.5907518541767 777 17:50
20.5% 1240000 -76056.70269876218 14825.324462311579 -61231.378236450604 307.1618560412449 777 17:49
20.6% 1245000 -76292.89287710309 14726.569850407963 -61566.32302669513 305.11578615845343 777 17:48
20.7% 1250000 -76055.3656104448 14474.063833154714 -61581.301777290086 299.8841828219962 777 17:47
20.7% 1255000 -76460.31964663127 14492.688476377645 -61967.63117025362 300.27006172771627 777 17:46
20.8% 1260000 -76517.22011684396 14408.370914052133 -62108.84920279183 298.52310913948673 777 17:45
20.9% 1265000 -76608.696552553 13952.063773130672 -62656.632779422325 289.06900587944546 777 17:44
21.0% 1270000 -76118.99072408574 14881.59940545025 -61237.39131863549 308.3278012471683 776 17:43
