#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
16.3% 985000 -76537.14525851907 14646.554620585366 -61890.5906379337 303.53640560424685 714 20:25
16.4% 990000 -76725.87606312442 14658.093631428823 -62067.782431695596 303.7755410163887 714 20:24
16.4% 995000 -77142.7536465369 14187.26409691277 -62955.48954962414 294.01803092193535 714 20:22
16.5% 1000000 -76348.24671087366 14410.648079238135 -61937.59863163553 298.6474589902474 714 20:21
16.6% 1005000 -76324.47631696107 14714.189404268527 -61610.286912692536 304.9380744379638 714 20:20
16.7% 1010000 -76243.06759947015 14781.370581935846 -61461.6970175343 306.33034270320735 714 20:19
16.8% 1015000 -76825.24725145532 14877.926247291634 -61947.32100416369 308.3313702733112 714 20:19
16.9% 1020000 -76421.13663749778 14702.951496836196 -61718.18514066158 304.70517911774095 713 20:18
16.9% 1025000 -76528.63018829952 14559.1102474889 -61969.51994081062 301.7242012061754 713 20:18
17.0% 1030000 -76512.83049387735 14399.469252428504 -62113.361241448845 298.4157880617208 713 20:17
17.1% 1035000 -76819.90042594804 14336.272924205088 -62483.62750174296 297.10610214491396 712 20:16
17.2% 1040000 -76453.68275135552 14240.992746173159 -62212.69000518236 295.13150787927714 712 20:16
17.3% 1045000 -76279.55142734112 14302.054827883949 -61977.496599457176 296.396963495382 712 20:15
17.4% 1050000 -76663.72208190525 14450.923213561455 -62212.79886834379 299.48212419475544 711 20:14
17.4% 1055000 -76258.22082383945 14094.70746207474 -62163.51336176471 292.0998795900122 711 20:13
17.5% 1060000 -76745.89323596426 14549.189576895053 -62196.703659069215 301.51860441080294 711 20:13
17.6% 1065000 -76546.04121808524 14170.23382736857 -62375.807390716676 293.6650942117105 710 20:12
17.7% 1070000 -76258.08214795958 14719.213746448244 -61538.86840151133 305.0421993195666 710 20:11
17.8% 1075000 -76573.38325552826 14224.386406342875 -62348.99684918538 294.78735672339764 710 20:11
17.9% 1080000 -76068.64318708709 14492.623761509525 -61576.019425577564 300.3463297887519 709 20:10
17.9% 1085000 -76495.56156431789 14634.02292891404 -61861.53863540385 303.27669779277915 709 20:10
18.0% 1090000 -76652.02725551292 14640.773433654722 -62011.2538218582 303.416595809622 709 20:09
18.1% 1095000 -76392.69853773946 14475.150101029396 -61917.548436710065 299.9842042082121 708 20:08
